tempo, vel, ref
5.231961, -0.928537, -0.913682
5.239961, -0.916385, -0.906450
5.247961, -0.915019, -0.898942
5.255961, -0.906366, -0.891160
5.263961, -0.899464, -0.883107
5.271961, -0.888486, -0.874784
5.279961, -0.881511, -0.866195
5.287961, -0.876094, -0.857342
5.295960, -0.865285, -0.848229
5.303960, -0.856704, -0.838856
5.311960, -0.843281, -0.829229
5.319960, -0.837337, -0.819348
5.327960, -0.830506, -0.809218
5.335960, -0.817276, -0.798842
5.343960, -0.808216, -0.788222
5.351960, -0.795824, -0.777363
5.359960, -0.784103, -0.766266
5.367959, -0.780364, -0.754936
5.375959, -0.763802, -0.743376
5.383959, -0.751746, -0.731590
5.391959, -0.740145, -0.719581
5.399959, -0.727658, -0.707352
5.407959, -0.716728, -0.694909
5.415959, -0.704097, -0.682253
5.423959, -0.692808, -0.669390
5.431959, -0.676413, -0.656323
5.439959, -0.666946, -0.643056
5.447958, -0.655776, -0.629593
5.455958, -0.645638, -0.615938
5.463958, -0.627302, -0.602096
5.471958, -0.615294, -0.588070
5.479958, -0.594321, -0.573865
5.487958, -0.583272, -0.559486
5.495958, -0.566446, -0.544936
5.503958, -0.557506, -0.530220
5.511958, -0.541135, -0.515342
5.519958, -0.529918, -0.500308
5.527957, -0.513739, -0.485121
5.535957, -0.494109, -0.469786
5.543957, -0.478074, -0.454308
5.551957, -0.465299, -0.438692
5.559957, -0.451038, -0.422942
5.567957, -0.438526, -0.407064
5.575957, -0.424337, -0.391061
5.583957, -0.403652, -0.374940
5.591957, -0.386706, -0.358704
5.599957, -0.370384, -0.342359
5.607956, -0.348573, -0.325909
5.615956, -0.337763, -0.309361
5.623956, -0.320889, -0.292718
5.631956, -0.311565, -0.275986
5.639956, -0.288292, -0.259170
5.647956, -0.271778, -0.242274
5.655956, -0.257804, -0.225306
5.663956, -0.239636, -0.208268
5.671956, -0.225567, -0.191167
5.679955, -0.201502, -0.174008
5.687955, -0.188799, -0.156796
5.695955, -0.170990, -0.139536
5.703955, -0.153997, -0.122234
5.711955, -0.136044, -0.104894
5.719955, -0.118595, -0.087522
5.727955, -0.101050, -0.070124
5.735955, -0.081109, -0.052705
5.743955, -0.065985, -0.035269
5.751955, -0.041249, -0.017822
5.759954, -0.021475, -0.000371
5.767954, -0.012942, 0.017081
5.775954, -0.004961, 0.034528
5.783954, 0.040746, 0.051964
5.791954, 0.062797, 0.069385
5.799954, 0.070155, 0.086784
5.807954, 0.082667, 0.104157
5.815954, 0.093860, 0.121498
5.823954, 0.106947, 0.138802
5.831954, 0.123317, 0.156064
5.839953, 0.141198, 0.173278
5.847953, 0.155507, 0.190440
5.855953, 0.175760, 0.207543
5.863953, 0.191364, 0.224583
5.871953, 0.209148, 0.241555
5.879953, 0.227724, 0.258454
5.887953, 0.242081, 0.275273
